,Mobility Profile
2016-01-01 05:50:00+00:00,203328.4370355356
2016-01-01 05:51:00+00:00,175807.12217187212
2016-01-01 05:52:00+00:00,167475.74550373392
2016-01-01 05:53:00+00:00,196956.072030939
2016-01-01 05:54:00+00:00,167391.89733977368
2016-01-01 05:55:00+00:00,167907.44555047466
2016-01-01 05:56:00+00:00,205579.77149186187
2016-01-01 05:57:00+00:00,213213.417419527
2016-01-01 05:58:00+00:00,213191.06167490495
2016-01-01 05:59:00+00:00,208973.53768670687
2016-01-01 06:00:00+00:00,221224.63842795303
2016-01-01 06:01:00+00:00,246499.3338198478
2016-01-01 06:02:00+00:00,227479.21037071582
2016-01-01 06:03:00+00:00,243610.041471016
2016-01-01 06:04:00+00:00,234077.25186205385
2016-01-01 06:05:00+00:00,216242.4867651127
2016-01-01 06:06:00+00:00,236001.24078721614
2016-01-01 06:07:00+00:00,252123.29105820938
2016-01-01 06:08:00+00:00,262975.411715444
2016-01-01 06:09:00+00:00,240045.56340772312
2016-01-01 06:10:00+00:00,221451.79908380457
2016-01-01 06:11:00+00:00,228456.91683192246
2016-01-01 06:12:00+00:00,249049.94477463124
2016-01-01 06:13:00+00:00,260990.48627280543
2016-01-01 06:14:00+00:00,281551.7716756204
2016-01-01 06:15:00+00:00,282067.5256973694
2016-01-01 06:16:00+00:00,293502.50482613035
2016-01-01 06:17:00+00:00,303811.77763411344
2016-01-01 06:18:00+00:00,323796.97584033
2016-01-01 06:19:00+00:00,364546.4129192585
2016-01-01 06:20:00+00:00,358714.93218510103
2016-01-01 06:21:00+00:00,380452.0719018228
2016-01-01 06:22:00+00:00,362100.5685947373
2016-01-01 06:23:00+00:00,372728.15403839597
2016-01-01 06:24:00+00:00,387264.2508877406
2016-01-01 06:25:00+00:00,360471.7190345399
2016-01-01 06:26:00+00:00,359477.11141914886
2016-01-01 06:27:00+00:00,346865.4414760116
2016-01-01 06:28:00+00:00,328359.0108398346
2016-01-01 06:29:00+00:00,314498.5216356621
2016-01-01 06:30:00+00:00,356505.1613974703
2016-01-01 06:31:00+00:00,356505.1591173503
2016-01-01 06:32:00+00:00,378450.0541158464
2016-01-01 06:33:00+00:00,378450.05069566634
2016-01-01 06:34:00+00:00,396219.273632183
2016-01-01 06:35:00+00:00,390435.5132744878
2016-01-01 06:36:00+00:00,393094.4985405407
2016-01-01 06:37:00+00:00,383591.84300841985
2016-01-01 06:38:00+00:00,368029.58983572444
2016-01-01 06:39:00+00:00,363081.9799324769
2016-01-01 06:40:00+00:00,380328.5922179225
2016-01-01 06:41:00+00:00,394475.9383208927
2016-01-01 06:42:00+00:00,385983.15970213566
2016-01-01 06:43:00+00:00,385983.1597021357
2016-01-01 06:44:00+00:00,359797.7048125996
2016-01-01 06:45:00+00:00,377880.36149522424
2016-01-01 06:46:00+00:00,371299.56205846317
2016-01-01 06:47:00+00:00,383599.2792569131
2016-01-01 06:48:00+00:00,400260.873739957
2016-01-01 06:49:00+00:00,406989.4235604057
2016-01-01 06:50:00+00:00,392713.2857843613
2016-01-01 06:51:00+00:00,390874.08668641845
2016-01-01 06:52:00+00:00,366727.9461659451
2016-01-01 06:53:00+00:00,321620.15960187843
2016-01-01 06:54:00+00:00,316766.6986739339
2016-01-01 06:55:00+00:00,330339.9451310563
2016-01-01 06:56:00+00:00,338038.9627899578
2016-01-01 06:57:00+00:00,311113.3236538985
2016-01-01 06:58:00+00:00,322876.4269536103
2016-01-01 06:59:00+00:00,336841.3666175293
2016-01-01 07:00:00+00:00,345217.09246894583
2016-01-01 07:01:00+00:00,331567.0910682192
2016-01-01 07:02:00+00:00,344200.15654776973
2016-01-01 07:03:00+00:00,386871.067825964
2016-01-01 07:04:00+00:00,411432.9164809611
2016-01-01 07:05:00+00:00,406564.3057429856
2016-01-01 07:06:00+00:00,408651.0180765841
2016-01-01 07:07:00+00:00,401028.56622112484
2016-01-01 07:08:00+00:00,381347.6987020624
2016-01-01 07:09:00+00:00,410712.39538619766
2016-01-01 07:10:00+00:00,373154.8537809068
2016-01-01 07:11:00+00:00,353959.71757744614
2016-01-01 07:12:00+00:00,364899.5358996268
2016-01-01 07:13:00+00:00,377166.89735843486
2016-01-01 07:14:00+00:00,388586.43128138204
2016-01-01 07:15:00+00:00,406824.35221110366
2016-01-01 07:16:00+00:00,406824.3488007636
2016-01-01 07:17:00+00:00,421509.8155595614
2016-01-01 07:18:00+00:00,433507.5780960346
2016-01-01 07:19:00+00:00,410723.8517447656
2016-01-01 07:20:00+00:00,405613.5638607018
2016-01-01 07:21:00+00:00,387701.2989561986
2016-01-01 07:22:00+00:00,405651.2690369648
2016-01-01 07:23:00+00:00,460722.4072407897
2016-01-01 07:24:00+00:00,458370.2314999308
2016-01-01 07:25:00+00:00,468028.8859846842
2016-01-01 07:26:00+00:00,437046.29233062355
2016-01-01 07:27:00+00:00,417536.30295480974
2016-01-01 07:28:00+00:00,390211.8073647665
2016-01-01 07:29:00+00:00,387036.95643031417
2016-01-01 07:30:00+00:00,390136.8292665168
2016-01-01 07:31:00+00:00,413213.64901797165
2016-01-01 07:32:00+00:00,393957.170279426
2016-01-01 07:33:00+00:00,404599.7645669918
2016-01-01 07:34:00+00:00,406387.15779635415
2016-01-01 07:35:00+00:00,446525.8915563434
2016-01-01 07:36:00+00:00,457286.04703122005
2016-01-01 07:37:00+00:00,450255.47097549343
2016-01-01 07:38:00+00:00,432719.61678583623
2016-01-01 07:39:00+00:00,436430.8084560925
2016-01-01 07:40:00+00:00,436430.8141399926
2016-01-01 07:41:00+00:00,440459.63774241915
2016-01-01 07:42:00+00:00,411321.1161762498
2016-01-01 07:43:00+00:00,388596.20441651734
2016-01-01 07:44:00+00:00,385498.32920641714
2016-01-01 07:45:00+00:00,358379.264080304
2016-01-01 07:46:00+00:00,366847.4194326663
2016-01-01 07:47:00+00:00,382109.86477078125
2016-01-01 07:48:00+00:00,381851.5951817045
2016-01-01 07:49:00+00:00,389539.2338259672
2016-01-01 07:50:00+00:00,375898.63841091614
